Date,Year,Month,"Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor"
2006-05-01,2006,May,100.334,62776,19.0,84.1
2006-06-01,2006,June,100.334,68391,18.8,94.7
2006-07-01,2006,July,100.334,72186,17.6,96.7
2006-08-01,2006,August,100.334,72016,17.7,96.5
2006-09-01,2006,September,100.334,66642,20.1,92.3
2006-10-01,2006,October,100.334,57509,17.9,77.0
2006-11-01,2006,November,100.334,61392,19.9,85.0
2006-12-01,2006,December,100.334,70490,21.0,94.4
2007-01-01,2007,January,100.266,74006,20.9,99.2
2007-02-01,2007,February,100.266,65225,20.2,96.8
2007-03-01,2007,March,100.266,64305,20.1,86.2
2007-04-01,2007,April,100.266,57301,18.9,79.4
2007-05-01,2007,May,100.266,65025,19.7,87.2
2007-06-01,2007,June,100.266,68923,19.0,95.5
2007-07-01,2007,July,100.266,72739,18.5,97.5
2007-08-01,2007,August,100.266,72751,17.2,97.5
2007-09-01,2007,September,100.266,67579,19.0,93.6
2007-10-01,2007,October,100.266,61690,18.5,82.7
2007-11-01,2007,November,100.266,64899,20.7,89.9
2007-12-01,2007,December,100.266,71983,20.8,96.5
2008-01-01,2008,January,100.755,70735,19.5,94.4
2008-02-01,2008,February,100.755,65130,20.0,92.9
2008-03-01,2008,March,100.755,64716,19.9,86.3
2008-04-01,2008,April,100.755,57333,18.7,79.0
2008-05-01,2008,May,100.755,64826,19.9,86.5
2008-06-01,2008,June,100.755,70319,18.8,96.9
2008-07-01,2008,July,100.755,74318,18.4,99.1
2008-08-01,2008,August,100.755,72617,18.7,96.9
2008-09-01,2008,September,100.755,67054,19.8,92.4
2008-10-01,2008,October,100.755,62820,19.7,83.8
2008-11-01,2008,November,100.755,63408,20.5,87.4
2008-12-01,2008,December,100.755,72931,21.2,97.3
2009-01-01,2009,January,101.004,74102,20.9,98.6
2009-02-01,2009,February,101.004,64227,21.3,94.6
2009-03-01,2009,March,101.004,67241,21.6,89.5
2009-04-01,2009,April,101.004,59408,20.5,81.7
2009-05-01,2009,May,101.004,65395,21.0,87.0
2009-06-01,2009,June,101.004,69735,20.1,95.9
2009-07-01,2009,July,101.004,72949,19.6,97.1
2009-08-01,2009,August,101.004,72245,19.0,96.1
2009-09-01,2009,September,101.004,65752,20.1,90.4
2009-10-01,2009,October,101.004,58021,18.9,77.2
2009-11-01,2009,November,101.004,59069,19.9,81.2
2009-12-01,2009,December,101.004,70710,20.2,94.1
2010-01-01,2010,January,101.167,72569,20.1,96.4
2010-02-01,2010,February,101.167,65245,20.4,96.0
2010-03-01,2010,March,101.167,64635,20.7,85.9
2010-04-01,2010,April,101.167,57611,20.0,79.1
2010-05-01,2010,May,101.167,66658,20.3,88.6
2010-06-01,2010,June,101.167,68301,18.2,93.8
2010-07-01,2010,July,101.167,71913,17.6,95.5
2010-08-01,2010,August,101.167,71574,17.5,95.1
2010-09-01,2010,September,101.167,69371,20.0,95.2
2010-10-01,2010,October,101.167,62751,20.4,83.4
2010-11-01,2010,November,101.167,62655,20.5,86.0
2010-12-01,2010,December,101.167,73683,20.3,97.9
2011-01-01,2011,January,101.163,72743,20.0,96.6
2011-02-01,2011,February,101.163,64789,20.7,95.3
2011-03-01,2011,March,101.163,65662,20.6,87.2
2011-04-01,2011,April,101.163,54547,18.0,74.9
2011-05-01,2011,May,101.163,57013,17.6,75.7
2011-06-01,2011,June,101.277,65270,17.7,89.5
2011-07-01,2011,July,101.277,72345,17.3,96.0
2011-08-01,2011,August,101.347,71339,17.5,94.6
2011-09-01,2011,September,101.347,66849,19.8,91.6
2011-10-01,2011,October,101.347,63337,20.5,84.0
2011-11-01,2011,November,101.347,64474,21.2,88.4
2011-12-01,2011,December,101.419,71837,21.4,95.2
2012-01-01,2012,January,101.602,72381,21.3,95.8
2012-02-01,2012,February,101.602,63847,20.6,90.3
2012-03-01,2012,March,101.602,61729,20.0,81.7
2012-04-01,2012,April,101.602,55871,18.9,76.4
2012-05-01,2012,May,101.625,62081,18.4,82.1
2012-06-01,2012,June,101.625,65140,18.1,89.0
2012-07-01,2012,July,101.747,69129,16.7,91.3
2012-08-01,2012,August,101.856,69602,17.6,91.8
2012-09-01,2012,September,101.856,64511,19.3,88.0
2012-10-01,2012,October,101.856,59743,19.2,78.8
2012-11-01,2012,November,101.885,56713,18.5,77.3
2012-12-01,2012,December,101.885,68584,20.5,90.5
2013-01-01,2013,January,102.206,71406,20.5,93.9
2013-02-01,2013,February,101.346,61483,19.9,90.3
2013-03-01,2013,March,101.455,62947,19.3,83.4
2013-04-01,2013,April,101.603,56767,19.0,77.6
2013-05-01,2013,May,101.282,62848,19.5,83.3
2013-06-01,2013,June,99.132,66430,18.6,93.1
2013-07-01,2013,July,99.132,70539,17.9,95.6
2013-08-01,2013,August,99.132,71344,18.5,96.7
2013-09-01,2013,September,99.132,65799,19.3,92.2
2013-10-01,2013,October,99.132,63184,20.1,85.7
2013-11-01,2013,November,99.132,64975,20.7,91.0
2013-12-01,2013,December,99.24,71294,20.2,96.6
2014-01-01,2014,January,99.182,73163,19.4,99.1
2014-02-01,2014,February,99.182,62639,19.3,94.0
2014-03-01,2014,March,99.182,62397,18.8,84.5
2014-04-01,2014,April,99.182,56385,18.9,78.8
2014-05-01,2014,May,99.182,62947,19.4,85.2
2014-06-01,2014,June,99.182,68138,19.0,95.4
2014-07-01,2014,July,99.182,71940,18.6,97.5
2014-08-01,2014,August,99.182,71129,18.5,96.4
2014-09-01,2014,September,99.182,67535,19.9,94.6
2014-10-01,2014,October,99.182,62391,19.8,84.5
2014-11-01,2014,November,99.182,65140,20.5,91.3
2014-12-01,2014,December,98.569,73363,21.7,99.6
2015-01-01,2015,January,98.533,74270,20.6,101.3
2015-02-01,2015,February,98.533,63461,19.0,95.8
2015-03-01,2015,March,98.533,64547,19.9,88.0
2015-04-01,2015,April,98.533,59784,20.3,84.3
2015-05-01,2015,May,98.533,65827,20.4,89.8
